WORLD_TIME,1,2,3,4,5,6,7,8,9
0,4,3,6,3,2,4,5,2,2
1,3,2,3,2,2,4,4,2,2
2,4,0,2,1,2,5,3,2,2
3,6,0,1,0,2,6,3,2,2
4,9,0,1,0,2,6,3,2,2
5,13,0,1,0,2,7,2,2,2
6,18,0,0,0,2,7,2,2,2
7,23,0,0,0,2,7,2,2,2
8,30,0,0,0,2,7,2,2,2
9,36,0,0,0,2,6,1,2,2
10,44,0,0,0,2,5,1,2,2
11,51,0,0,0,2,3,1,2,2
12,58,0,0,0,2,2,1,2,2
13,65,0,0,0,2,1,1,2,2
14,71,0,0,0,2,1,1,2,2
15,77,0,0,0,2,1,1,2,2
16,81,0,0,0,2,0,0,2,2
17,84,0,0,0,2,0,0,2,2
18,86,0,0,0,2,0,0,2,2
19,86,0,0,0,2,0,0,2,2
20,86,0,0,0,2,0,0,2,2
21,87,0,0,0,2,0,0,2,2
22,87,0,0,0,2,0,0,2,2
23,86,1,0,0,2,0,0,2,2
24,86,1,0,0,2,0,0,2,2
25,85,1,0,1,2,0,0,2,2
26,85,1,0,1,2,0,0,2,2
27,84,1,0,1,2,0,0,2,2
28,83,1,0,1,2,0,0,2,2
29,82,1,0,1,2,0,0,2,2
30,81,1,1,1,2,0,0,2,2
31,81,1,1,1,2,0,0,2,2
32,80,1,1,1,2,0,0,2,2
33,79,1,1,1,2,0,0,2,2
34,78,1,2,1,2,0,0,2,2
35,76,1,2,1,2,0,0,2,2
36,76,1,2,1,2,0,0,2,2
37,75,1,2,1,2,0,0,2,2
38,74,2,3,1,2,0,0,2,2
39,73,2,3,2,2,0,0,2,2
40,72,2,3,2,2,0,0,2,2
41,70,2,3,2,2,0,0,2,2
42,69,2,3,2,2,0,1,2,2
43,68,2,3,2,2,0,1,2,2
44,67,2,3,2,2,0,1,2,2
45,66,2,3,2,2,0,1,2,2
46,65,2,3,2,2,0,1,2,2
47,65,2,3,2,2,0,1,2,2
48,64,2,3,2,2,0,1,2,2
49,62,2,2,2,2,0,1,2,2
50,61,2,2,2,2,0,1,2,2
51,60,2,2,2,2,0,1,2,2
52,59,2,3,2,2,0,1,1,2
53,58,2,3,2,2,0,1,1,2
54,57,2,3,2,2,0,1,1,2
55,56,2,3,2,2,0,1,1,2
56,56,2,3,2,2,0,1,1,2
57,55,2,4,2,2,0,1,1,2
58,55,2,4,2,2,0,1,1,2
59,54,2,4,2,2,0,1,0,2
60,53,2,5,3,2,0,1,0,2
61,52,2,5,2,2,0,1,0,2
62,52,2,5,2,2,0,1,0,2
63,51,2,6,2,2,0,1,0,2
64,50,2,6,2,2,0,1,0,2
65,50,2,6,2,2,0,1,0,2
66,49,2,6,2,2,0,1,0,2
67,48,2,6,2,2,0,1,0,2
68,48,2,6,2,2,0,1,0,2
69,47,2,6,2,2,0,1,0,2
70,46,2,5,2,2,0,2,0,2
71,46,2,5,2,2,0,2,0,2
72,45,2,5,2,2,0,2,0,2
73,45,2,6,2,2,0,2,0,2
74,45,2,5,2,2,0,2,0,2
75,44,2,6,2,2,0,2,0,2
76,44,1,6,2,2,0,2,0,2
77,44,1,6,2,2,0,2,0,2
78,44,1,6,2,2,0,3,0,2
79,44,1,6,1,2,0,3,0,2
80,43,1,7,2,2,0,3,0,2
81,42,2,7,2,2,0,3,0,2
82,42,2,7,2,2,0,3,0,2
83,41,2,7,2,2,0,3,0,2
84,40,2,7,2,2,0,3,0,2
85,39,2,8,2,2,0,3,0,2
86,38,2,8,2,2,0,3,0,2
87,38,2,7,2,2,0,3,0,2
88,36,2,8,2,2,0,3,0,2
89,36,1,8,2,2,0,4,0,2
90,35,1,8,3,2,0,4,0,2
91,35,1,7,2,2,0,4,0,2
92,34,1,7,2,2,0,4,0,2
93,34,1,7,2,2,0,4,0,2
94,34,1,7,2,2,0,4,0,2
95,35,1,6,2,2,0,5,0,2
96,36,1,6,2,2,0,5,0,2
97,37,1,6,2,2,0,5,0,2
98,38,1,5,2,2,0,5,0,2
99,39,1,5,2,2,0,5,0,2
100,40,1,4,2,2,0,5,0,2
101,42,1,4,2,2,0,5,1,2
102,44,1,4,2,2,0,5,1,2
103,46,1,4,2,2,0,5,1,2
104,48,1,4,2,2,0,5,1,2
105,49,1,4,2,2,0,5,1,2
106,51,1,4,2,2,0,5,1,2
107,52,1,4,2,2,0,5,1,2
108,53,1,4,2,2,0,5,1,2
109,55,1,4,2,2,0,5,1,2
110,55,1,4,3,2,0,5,1,2
111,55,2,4,3,2,0,5,1,2
112,55,2,5,3,2,0,5,1,2
113,54,2,5,4,2,0,5,1,2
114,53,2,5,4,2,0,5,1,2
115,53,2,6,4,2,0,5,1,2
116,52,2,6,4,2,0,5,1,2
117,50,2,6,5,2,0,5,1,2
118,48,3,7,5,2,0,5,1,2
119,45,3,8,5,2,0,5,1,2
120,44,3,8,5,2,0,5,1,2
121,41,3,8,5,2,0,5,1,2
122,39,3,8,5,2,0,5,1,2
123,37,3,8,5,2,0,5,1,2
124,35,3,8,5,2,0,5,1,2
125,33,3,7,5,2,0,6,1,2
126,30,3,7,5,2,0,6,1,2
127,28,3,7,6,2,0,6,1,2
128,25,2,7,6,2,0,6,1,2
129,23,2,6,6,2,0,6,1,2
